,JID,Text
印刷電路板用之連結器，可知證據2為一種以螺桿作為第一
定位件之連結器，其並未揭露、亦無教示以彈片與凹孔相互卡
掣作為定位手段之相關技術內容，故證據2並未揭露系爭專
利請求項7之技術特徵，且該技術特徵並非為所屬技術領域
中具有通常知識者依證據2所揭示之技術內容而能輕易完成
者。系爭專利請求項8為請求項1之附屬項，其附屬之技術
特徵為「該公座體的第一定位件為是一設於該配置體的彈勾件
，該彈勾件具有至少一彈勾體，其一端連結並固定於該配置體
之頂部，該彈勾體的游離端並凸設有一勾夾片，而該第二定位
件凸設有一卡座，該卡座在其周壁處凹設有一環槽，當以該公
座體的第一接頭對準該母座體的第二接頭插接定位時，該彈勾
體游離端之勾夾片可順著該卡座滑向該環槽，使該勾夾片進入
該環槽內而產生定位」；又系爭專利請求項9為請求項8之
附屬項，其附屬之技術特徵為「各彈勾片的夾勾片之近中央位
置進一步凹設有一呈半圓形之卡槽」，由證據2之圖式及新
式樣創作說明揭示一種印刷電路板用之連結器，可知證據2
為一種以螺桿作為第一定位件之連結器，其並未揭露、亦無教
示以彈勾件與卡座作為定位手段之相關技術內容，故證據2
並未揭露系爭專利請求項8、9之技術特徵，且該技術特徵並
非為所屬技術領域中具有通常知識者依證據2所揭示之技術
內容而能輕易完成者。綜上可知，系爭專利請求項7、8、9非
為所屬技術領域中具有通常知識者依證據2而能輕易完成，故
證據2不足以證明系爭專利請求項7、8、9不具進步性。又證
據3及證據4皆揭示具有鎖固裝置之電插座，證據5則揭示一

19種電腦連接裝置，其亦使用螺絲作為公母接頭之鎖固定位手段
，查證據3至5均未揭示、亦未教示請求項7之彈片與凹孔結
構、請求項8、9之彈勾件與卡座結構，故證據3至5並未揭
露系爭專利請求項7、8、9之技術特徵，且該技術特徵並非為
所屬技術領域中具有通常知識者依證據2、3之組合、證據2
、4之組合、證據3、5之組合或證據4、5之組合而能輕易完
成者。故系爭專利請求項7、8、9非為所屬技術領域中具有通
常知識者依證據2至5之組合而能輕易完成，故證據2、3之
組合、證據2、4之組合、證據3、5之組合或證據4、5之組
合均不足以證明系爭專利請求項7、8、9不具進步性。
系爭專利請求項7至9之主要圖式如下：
對應請求項7之主要圖式：對應請求項8、9之主要圖式：










2.雖被告辯稱證據2已說明此電連接器係安裝於電腦之印刷電路
板與外部機器之連接器，亦說明螺桿係固定用之定位件，因此
通常知識者依前開說明，必可得知有一個對應搭配公座體之母
座體，該母座體對應該公座體的螺桿必設有一具內螺紋之鎖孔
，亦可得知藉由螺桿上凸出的外螺紋與鎖孔內凹的內螺紋而利
用凸出、內凹的卡合方式契合定位，而可輕易設計出請求項5
、6之「卡柱」、「凹卡孔」，請求項7之「彈片」、「凹孔

20」，請求項8、9之「彈勾體」、「卡座」云云。惟查，證據
2之連接器揭露以螺桿作為固定用之定位件，並可由證據2推
知對應該連接器之母座體必設有一具內螺紋之鎖孔，然查證據
2之螺鎖結構並未教示其得輕易替換為以「卡柱」、「凹卡孔
」或「彈片」、「凹孔」或「彈勾體」、「卡座」之未具螺絲
和螺孔配合之結構，且證據3至5亦未揭露相關之技術內容，
故證據2或證據2至5之任意組合均不足以證明系爭專利請求
項5至9不具進步性。被告另稱由80幾年申請之證據2及5
皆已揭示以螺桿固定電連接器之相關技術，依時間點之演變推
敲，系爭專利申請時之通常知識者，應可輕易利用螺桿及其他
凸出、內凹之固定件去固定電連接器。惟查證據2及5並未揭
露、亦未教示系爭專利請求項5至9各式卡合結構之固定件，
故依證據2及5所揭示之技術內容，所屬技術領域中具有通常
知識者並無法輕易完成系爭專利請求項5至9所請求之技術特
徵，此與時間上之演進與否並無直接關連，參加人所提證據尚
不足以證明系爭專利請求項5至9不具進步性。
(七)系爭專利請求項10、11是否具進步性？
1.經查證據6為93年12月21日公告之臺灣第D101968號「HD
MI電連接器（二）」專利，其公告日早於系爭專利之申請日
，可為系爭專利相關之先前技術。證據6揭露一種HDMI電
連接器的新式樣創作。其係包含一鐵殼、一膠芯及端子組等三
大部分；其中，鐵殼為一長方形體，於頂面前端向上延伸出一
方形固定片，於固定片上設有一圓形開口，另外，其頂面與底
面均設有若干彈片，底面亦有若干根定位柱；於殼體雙側面中
間及後面端各有自殼體向下延伸出之直立式插入片；膠芯由殼
體包覆住，端子組置放於內，其端子尾端是以一L形彎折方
式置放於殼體後方。證據7為2001年5月29日公告之美國第

216238241號專利，其公告日亦早於系爭專利之申請日，可為系
爭專利相關之先前技術。證據7之電連接器組件包括上連接器
，下連接器，間隔件和後屏蔽件。上電連接器包括：絕緣殼體
，在其底表面中包括凹槽；一對屏蔽殼，部分地包圍殼體；多
個電觸頭，容納在絕緣殼體中；以及前屏蔽件，屏蔽殼體的前
部和頂部絕緣殼體。前屏蔽件包括垂直部，從垂直部的頂部垂
直地向後延伸的橫向部，以及從垂直部的頂部垂直向上延伸的
安裝板，安裝板在其上端附近限定有安裝孔。
證據7之主要圖式：
證據6之主要圖式：











2.系爭專利請求項10為請求項3或4之附屬項，其附屬之技術
特徵為「該公座體進一步地於在該配置體之長槽部位且對準於
該對接座之鎖孔的該側壁，以遠離該鎖孔的方向並以該長槽為
中心向內凹設有一內徑穩合於該對接座外徑的套合槽」，系爭
專利之「長槽」及「螺桿」之技術特徵已揭露於證據2技術內
容，查證據2並未揭露、亦無教示以套合槽提供短暫輔助定位
之相關技術內容，故證據2並未揭露系爭專利請求項10之技
術特徵，且該技術特徵並非為所屬技術領域中具有通常知識者

22依證據2所揭示之技術內容而能輕易完成者。系爭專利請求項
11為請求項3或4之附屬項，其附屬之技術特徵為「該第一
定位件之螺桿在距離具有該外螺紋鎖組段的另一端一適當距離
處，進一步加設有一止擋凸環緣，當該外螺紋鎖組段鎖入該鎖
孔內至極限位置時可形成擋止作用，而避免螺牙損壞或螺桿過
度鎖入而造成傾斜」，證據2並未揭露、亦無教示以止擋凸環
緣之結構避免螺牙損壞或螺桿過度鎖入之相關技術內容，故證
據2並未揭露系爭專利請求項11之技術特徵，且該技術特徵
並非為所屬技術領域中具有通常知識者依證據2所揭示之技術
內容而能輕易完成者，故證據2不足以證明系爭專利請求項1
0、11不具進步性。又證據3及證據4皆揭示具有鎖固裝置之
電插座；證據5揭示一種電腦連接裝置，其亦使用螺絲作為公
母接頭之鎖固定位手段；證據6為一種HDMI電連接器的新
式樣，於頂面前端向上延伸出一方形固定片，於固定片上設有
一圓形開口；證據7則為一種堆疊式電連接器組件，其頂部據
有一向上垂直延伸的安裝板；查證據3至7皆未揭示、亦未教
示請求項10之套合槽結構，以及請求項11之止擋凸環緣結構
，故證據3至7並未揭露系爭專利請求項10、11之技術特徵
，且該技術特徵並非為所屬技術領域中具有通常知識者依參加
人所提證據2與其他證據3至7之組合而能輕易完成者，前開
證據之組合自不足以證明系爭專利請求項10、11不具進步性
。
系爭專利請求項10、11之主要圖式如下：
對應請求項11之主要圖式：





23對應請求項10之主要圖式：










3.被告雖辯稱證據2已說明此電連接器係安裝於電腦之印刷電路
板與外部機器之連接器，亦說明螺桿係固定用之定位件，故通
常知識者依前開說明，必可得知有一對應搭配公座體之母座體
，該母座體對應該公座體的螺桿必設有一具內螺紋之鎖孔，亦
可得知藉由螺桿上凸出的外螺紋與鎖孔內凹的內螺紋而利用凸
出、內凹的卡合方式契合定位，而可輕易設計出如請求項10
各種讓螺桿、鎖孔插接更為穩固之方式，或如請求項11各種
避免讓螺桿、鎖孔損害之方式云云。惟查，證據2之連接器揭
露以螺桿作為固定用之定位件，並可由證據2推知對應該連接
器之母座體必設有一具內螺紋之鎖孔，惟證據2並未揭露、亦
未教示任何讓螺桿、鎖孔插接更為穩固之方式或避免讓螺桿、
鎖孔損害之方式，難認請求項10之套合槽及請求項11之止擋
凸環緣為所屬技術領域中具有通常知識者能夠輕易完成，且證
據3至7亦無揭露相關之技術內容，故證據2或證據2至7之
任意組合皆不足以證明系爭專利請求項10、11不具進步性，
故被告此部分之主張自不足採。
八、綜上所述，系爭專利僅請求項1至4違反核准時專利法第22
